event_date,transaction_id,purchased_product_skus,item_categories
20210101,9938479241,"9196735,9195949","Apparel,Apparel"
20210101,6737995895,"9196976,9196729,9198447,9188315,9195927,9195846","Campus Collection,New,Small Goods,Accessories,Accessories,Clearance"
20210101,463396072,"9184829,9196902,9199084,9195939,9196380,9195937,9196381,9185002,9197329","Writing Instruments,Stationery,,Office,Office,Office,Office,Office,Writing Instruments"
20210101,6847696673,"9199127,9180865,9194259,9184829,9196784,9188201,9195359,9195846,9196869,9196785,9200362,9188200,9188315,9195292","Shop by Brand,Office,Accessories,Writing Instruments,Small Goods,Office,Accessories,Clearance,New,,Shop by Brand,Office,Accessories,Drinkware"
20210101,3822890750,"9195959,9195830,9188228","Bags,Lifestyle,Google"
20210101,8695549122,"9195792,9196636,9195237","Apparel,Apparel,Apparel"
20210101,5860078581,"9196623,9196691,9196711,9195549,9197718","Apparel,Apparel,Apparel,Uncategorized Items,Bags"
20210101,9537139808,"9197366,9196859,9188200,9197368,9195292,9188201,9196894","Campus Collection,New,Office,Campus Collection,Drinkware,Office,Accessories"
20210101,3447887131,9195792,Apparel
20210101,3854722217,9195295,Accessories
20210101,6542146188,"9199220,9199220","Apparel,Apparel"
20210101,4145966325,9199204,Shop by Brand
20210101,2942981362,"9195846,9185002,9195845","Clearance,Office,Stationery"
20210102,2349823550,"9184829,9200364,9184831,9200320,9200322,9196866,9200321,9184830,9180865,9180819","Writing Instruments,Shop by Brand,Writing Instruments,Apparel,Apparel,New,Apparel,Writing Instruments,Office,Google"
20210102,2073562964,9200314,Shop by Brand
20210102,9181555608,"9196844,9184917,9196855","New,Uncategorized Items,New"
20210102,73704467,9195130,Apparel
20210102,9036595162,9200314,Shop by Brand
20210102,2588023335,9196717,Apparel
20210102,3742387801,"9196705,9199131,9188310,9184749","New,Shop by Brand,Accessories,Accessories"
20210102,4651548270,"9195249,9195130,9196782,9196862,9194990,9200362,9195966","Apparel,Apparel,New,New,Apparel,Shop by Brand,Accessories"
20210102,6788347646,"9200362,9195843,9188201,9188200","Shop by Brand,Stationery,Office,Office"
20210102,5768097016,"9196749,9195882,9194990","Apparel,Apparel,Apparel"
20210102,4256792636,9188229,Google
20210102,3799653663,9180825,Uncategorized Items
20210102,375298854,"9195968,9195967,9195966","Accessories,Accessories,Accessories"
20210103,9506043463,"9196959,9196953","Campus Collection,Campus Collection"
20210103,1034112530,9200199,Shop by Brand
20210103,3900385248,"9195968,9196864,9196764,9195295,9199126,9188221,9190330,9196654,9180818","Accessories,New,Apparel,Accessories,Shop by Brand,Bags,Apparel,Apparel,Office"
20210103,8895830668,9196960,Campus Collection
20210103,3408375107,9188201,Office
20210103,4381494671,9180818,Office
20210103,5815235392,9196895,Accessories
20210103,183062884,"9195292,9184866","Drinkware,Uncategorized Items"
20210103,582342950,"9180865,9196624,9188310,9196636,9195359,9195548","Office,Apparel,Accessories,Apparel,Accessories,Drinkware"
20210103,2321422855,9196621,Apparel
20210103,8103207185,9196866,New
20210103,3989453874,9197400,Campus Collection
20210103,1258061525,"9197603,9196728","Campus Collection,New"
20210104,3921571837,9195359,Accessories
20210104,6980204056,"9196741,9196849","Apparel,Apparel"
20210104,6247410008,"9197565,9197602","Campus Collection,Campus Collection"
20210104,903244069,9196710,Apparel
20210104,4954519074,9190330,
20210104,2919525387,"9196786,9196783,9194259","New,New,Accessories"
20210104,2292063223,"9188311,9188310,9180818,9197026","Accessories,Accessories,Office,Campus Collection"
20210104,6257212806,"9184858,9188229,9196783,9195797,9188192","Clearance,Google,New,Apparel,Apparel"
20210104,1033094742,"9199127,9197597,9197573,9197602,9196932,9197969","Shop by Brand,,Clearance,Campus Collection,Campus Collection,Campus Collection"
20210104,3688061322,"9194259,9196870,9197373,9188315,9196862,9199082,9196860,9199084,9184831","Accessories,Clearance,Apparel,Accessories,New,Bags,New,Google,Writing Instruments"
20210104,5766200021,9195359,Accessories
20210104,9474933943,"9195551,9196953","Uncategorized Items,Campus Collection"
20210104,2988139338,"9196621,9184912,9195195","Apparel,Apparel,Apparel"
20210104,5368378013,"9180825,9180827,9195967","Uncategorized Items,Uncategorized Items,Accessories"
20210104,9355353884,9195830,Lifestyle
20210104,9946612133,"9185150,9195959","Uncategorized Items,Bags"
